Load images dataset/generated_cells: 102 
Number of image in Train: 82 | Val: 20
Pretrained model: None
Using device: cuda
Starting training for 500 epochs...
Epoch [153/500]  train_loss: 8.9620  val_loss: 4.9002 iou:0.8849  time: 0.98s lr: 1.00E-03
Epoch [154/500]  train_loss: 8.8954  val_loss: 4.9438 iou:0.8681  time: 1.08s lr: 1.00E-03
Epoch [155/500]  train_loss: 8.8207  val_loss: 4.9785 iou:0.8501  time: 1.09s lr: 1.00E-03
Epoch [156/500]  train_loss: 8.7449  val_loss: 4.9346 iou:0.8513  time: 1.10s lr: 1.00E-03
Epoch [157/500]  train_loss: 8.6988  val_loss: 4.8837 iou:0.8659  time: 1.04s lr: 1.00E-03
Epoch [158/500]  train_loss: 8.6305  val_loss: 4.8301 iou:0.8770  time: 1.09s lr: 1.00E-03
Epoch [159/500]  train_loss: 8.5633  val_loss: 4.9116 iou:0.8661  time: 1.10s lr: 1.00E-03
Epoch [160/500]  train_loss: 8.5049  val_loss: 4.7920 iou:0.8785  time: 1.00s lr: 1.00E-03
Epoch [161/500]  train_loss: 8.4551  val_loss: 4.6581 iou:0.8920  time: 1.10s lr: 1.00E-03
Epoch [162/500]  train_loss: 8.3680  val_loss: 4.6659 iou:0.8932  time: 1.10s lr: 1.00E-03
Epoch [163/500]  train_loss: 8.3584  val_loss: 4.5529 iou:0.8981  time: 0.96s lr: 1.00E-03
Epoch [164/500]  train_loss: 8.2362  val_loss: 4.5660 iou:0.8794  time: 1.09s lr: 1.00E-03
Epoch [165/500]  train_loss: 8.1869  val_loss: 4.7541 iou:0.8499  time: 1.11s lr: 1.00E-03
Epoch [166/500]  train_loss: 8.1506  val_loss: 4.6224 iou:0.8740  time: 1.14s lr: 1.00E-03
Epoch [167/500]  train_loss: 8.0696  val_loss: 4.4097 iou:0.8925  time: 1.09s lr: 1.00E-03
Epoch [168/500]  train_loss: 8.0324  val_loss: 4.3508 iou:0.8944  time: 1.08s lr: 1.00E-03
Epoch [169/500]  train_loss: 7.9633  val_loss: 4.3373 iou:0.9007  time: 1.09s lr: 1.00E-03
Epoch [170/500]  train_loss: 7.8910  val_loss: 4.3593 iou:0.9023  time: 0.96s lr: 1.00E-03
Epoch [171/500]  train_loss: 7.8576  val_loss: 4.3340 iou:0.9004  time: 1.06s lr: 1.00E-03
Epoch [172/500]  train_loss: 7.7800  val_loss: 4.2772 iou:0.8986  time: 1.11s lr: 1.00E-03
Epoch [173/500]  train_loss: 7.7133  val_loss: 4.2365 iou:0.8975  time: 1.09s lr: 1.00E-03
Epoch [174/500]  train_loss: 7.6951  val_loss: 4.2164 iou:0.8970  time: 0.99s lr: 1.00E-03
Epoch [175/500]  train_loss: 7.5943  val_loss: 4.2326 iou:0.8930  time: 1.07s lr: 1.00E-03
Epoch [176/500]  train_loss: 7.5564  val_loss: 4.1939 iou:0.8962  time: 1.10s lr: 1.00E-03
Epoch [177/500]  train_loss: 7.4752  val_loss: 4.1328 iou:0.9015  time: 0.99s lr: 1.00E-03
Epoch [178/500]  train_loss: 7.4360  val_loss: 4.1021 iou:0.9021  time: 0.98s lr: 1.00E-03
Epoch [179/500]  train_loss: 7.3849  val_loss: 4.0763 iou:0.9028  time: 1.16s lr: 1.00E-03
Epoch [180/500]  train_loss: 7.3123  val_loss: 4.0481 iou:0.9038  time: 1.09s lr: 1.00E-03
Epoch [181/500]  train_loss: 7.2863  val_loss: 4.0164 iou:0.9042  time: 1.11s lr: 1.00E-03
Epoch [182/500]  train_loss: 7.2104  val_loss: 3.9822 iou:0.9050  time: 1.09s lr: 1.00E-03
Epoch [183/500]  train_loss: 7.1680  val_loss: 3.9356 iou:0.9051  time: 1.11s lr: 1.00E-03
Epoch [184/500]  train_loss: 7.0990  val_loss: 3.9044 iou:0.9058  time: 1.10s lr: 1.00E-03
Epoch [185/500]  train_loss: 7.0896  val_loss: 3.8898 iou:0.9065  time: 1.24s lr: 1.00E-03
Epoch [186/500]  train_loss: 7.0038  val_loss: 3.8822 iou:0.9065  time: 1.04s lr: 1.00E-03
Epoch [187/500]  train_loss: 6.9569  val_loss: 3.8676 iou:0.9066  time: 1.05s lr: 1.00E-03
Epoch [188/500]  train_loss: 6.9403  val_loss: 3.8495 iou:0.9067  time: 0.96s lr: 1.00E-03
Epoch [189/500]  train_loss: 6.8580  val_loss: 3.8025 iou:0.9077  time: 0.97s lr: 1.00E-03
Epoch [190/500]  train_loss: 6.9333  val_loss: 3.7619 iou:0.9047  time: 1.09s lr: 1.00E-03
Epoch [191/500]  train_loss: 6.7802  val_loss: 3.8690 iou:0.8867  time: 0.97s lr: 1.00E-03
Epoch [192/500]  train_loss: 6.8683  val_loss: 3.8537 iou:0.8882  time: 1.10s lr: 1.00E-03
Epoch [193/500]  train_loss: 6.7630  val_loss: 4.6252 iou:0.8581  time: 1.12s lr: 1.00E-03
Epoch [194/500]  train_loss: 6.6665  val_loss: 4.6545 iou:0.8469  time: 1.11s lr: 1.00E-03
Epoch [195/500]  train_loss: 6.8427  val_loss: 3.7429 iou:0.8934  time: 1.09s lr: 1.00E-03
Epoch [196/500]  train_loss: 6.6341  val_loss: 3.6690 iou:0.9051  time: 1.08s lr: 1.00E-03
Epoch [197/500]  train_loss: 6.5177  val_loss: 3.7062 iou:0.9057  time: 0.99s lr: 1.00E-03
Epoch [198/500]  train_loss: 6.5238  val_loss: 3.6659 iou:0.9043  time: 0.96s lr: 1.00E-03
Epoch [199/500]  train_loss: 6.4204  val_loss: 3.6333 iou:0.9028  time: 0.97s lr: 1.00E-03
Epoch [200/500]  train_loss: 6.3804  val_loss: 3.6313 iou:0.9022  time: 1.02s lr: 1.00E-03
